epoch,loss,step,test_acc,test_loss,val_acc,val_loss
0,2.3602185249328613,49,,,,
0,0.5212819576263428,99,,,,
0,1.5710439682006836,149,,,,
0,0.5271649360656738,199,,,,
0,0.5275235176086426,249,,,,
0,0.18226440250873566,299,,,,
0,0.5532401204109192,349,,,,
0,0.2421930879354477,399,,,,
0,0.44225993752479553,449,,,,
0,0.2554543614387512,499,,,,
0,0.13870063424110413,549,,,,
0,0.058505088090896606,599,,,,
0,0.6260625123977661,649,,,,
0,0.5406622290611267,699,,,,
0,0.9697670936584473,749,,,,
0,0.24525462090969086,799,,,,
0,0.16209033131599426,849,,,,
0,0.6372603178024292,899,,,,
0,,918,,,0.9223809242248535,0.31186091899871826
1,0.12038195133209229,949,,,,
1,0.3977354168891907,999,,,,
1,0.22940704226493835,1049,,,,
1,0.21881014108657837,1099,,,,
1,0.013460454531013966,1149,,,,
1,0.36274418234825134,1199,,,,
1,0.09097284823656082,1249,,,,
1,0.039451971650123596,1299,,,,
1,0.08647967129945755,1349,,,,
1,0.5692432522773743,1399,,,,
1,0.357591450214386,1449,,,,
1,0.12330383062362671,1499,,,,
1,0.3533306121826172,1549,,,,
1,0.029613004997372627,1599,,,,
1,0.0036277954932302237,1649,,,,
1,0.10638218373060226,1699,,,,
1,0.056653451174497604,1749,,,,
1,0.057883381843566895,1799,,,,
1,,1837,,,0.9353968501091003,0.2199966162443161
2,0.06565771996974945,1849,,,,
2,0.152098149061203,1899,,,,
2,0.3170340359210968,1949,,,,
2,0.1300663948059082,1999,,,,
2,0.09726663678884506,2049,,,,
2,0.0395510271191597,2099,,,,
2,0.24970294535160065,2149,,,,
2,0.03566613048315048,2199,,,,
2,0.19935762882232666,2249,,,,
2,0.1116732805967331,2299,,,,
2,0.5327900648117065,2349,,,,
2,0.11875426024198532,2399,,,,
2,0.1769064962863922,2449,,,,
2,0.056596800684928894,2499,,,,
2,0.25588133931159973,2549,,,,
2,0.20065560936927795,2599,,,,
2,0.36976736783981323,2649,,,,
2,0.1631622612476349,2699,,,,
2,0.0752241238951683,2749,,,,
2,,2756,,,0.950952410697937,0.20652662217617035
3,,2757,0.9446119666099548,0.24105729162693024,,
3,,2757,0.9446119666099548,0.24105729162693024,,
3,,2757,0.9446119666099548,0.24105729162693024,,
3,,2757,0.9446119666099548,0.24105729162693024,,
