epoch,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,49,,,0.49565374851226807,,
0,99,,,0.37841254472732544,,
0,149,,,0.5062887072563171,,
0,199,,,0.3365744352340698,,
0,249,,,0.21003064513206482,,
0,299,,,0.1324237883090973,,
0,349,,,0.33971697092056274,,
0,399,,,0.13854865729808807,,
0,449,,,0.36417344212532043,,
0,499,,,0.05993707478046417,,
0,549,,,0.21934963762760162,,
0,599,,,0.04739028587937355,,
0,649,,,0.30929315090179443,,
0,699,,,0.31600242853164673,,
0,749,,,0.5115655064582825,,
0,799,,,0.21713922917842865,,
0,849,,,0.2522265315055847,,
0,899,,,0.1394679844379425,,
0,918,,,,0.9420635104179382,0.19275125861167908
1,949,,,0.09615292400121689,,
1,999,,,0.11886389553546906,,
1,1049,,,0.06855039298534393,,
1,1099,,,0.12439210712909698,,
1,1149,,,0.037348464131355286,,
1,1199,,,0.0626395046710968,,
1,1249,,,0.09624890983104706,,
1,1299,,,0.1218096911907196,,
1,1349,,,0.13763846457004547,,
1,1399,,,0.39315831661224365,,
1,1449,,,0.24436432123184204,,
1,1499,,,0.11442707479000092,,
1,1549,,,0.2094540148973465,,
1,1599,,,0.03591414541006088,,
1,1649,,,0.03237946704030037,,
1,1699,,,0.16632354259490967,,
1,1749,,,0.08100920915603638,,
1,1799,,,0.019736940041184425,,
1,1837,,,,0.9593650698661804,0.12456180900335312
2,1849,,,0.024451354518532753,,
2,1899,,,0.09130911529064178,,
2,1949,,,0.11580222100019455,,
2,1999,,,0.05548441410064697,,
2,2049,,,0.22643598914146423,,
2,2099,,,0.01826670579612255,,
2,2149,,,0.1713329255580902,,
2,2199,,,0.10191408544778824,,
2,2249,,,0.02406536042690277,,
2,2299,,,0.062333401292562485,,
2,2349,,,0.34932875633239746,,
2,2399,,,0.013879388570785522,,
2,2449,,,0.10576855391263962,,
2,2499,,,0.08765147626399994,,
2,2549,,,0.029460346326231956,,
2,2599,,,0.03568792715668678,,
2,2649,,,0.13071326911449432,,
2,2699,,,0.0864889919757843,,
2,2749,,,0.014317784458398819,,
2,2756,,,,0.9674603343009949,0.10130854696035385
3,2799,,,0.017532724887132645,,
3,2849,,,0.008925573900341988,,
3,2899,,,0.031000960618257523,,
3,2949,,,0.006345801521092653,,
3,2999,,,0.03637450933456421,,
3,3049,,,0.028652558103203773,,
3,3099,,,0.0066764517687261105,,
3,3149,,,0.02726573869585991,,
3,3199,,,0.17244873940944672,,
3,3249,,,0.04983227327466011,,
3,3299,,,0.06851813942193985,,
3,3349,,,0.010912997648119926,,
3,3399,,,0.028741277754306793,,
3,3449,,,0.0046703750267624855,,
3,3499,,,0.03689151629805565,,
3,3549,,,0.1531689316034317,,
3,3599,,,0.1477448046207428,,
3,3649,,,0.08983884006738663,,
3,3675,,,,0.9684126973152161,0.09735818207263947
4,3699,,,0.03763836622238159,,
4,3749,,,0.023830624297261238,,
4,3799,,,0.03245372325181961,,
4,3849,,,0.012904426082968712,,
4,3899,,,0.12416532635688782,,
4,3949,,,0.012685039080679417,,
4,3999,,,0.11264871805906296,,
4,4049,,,0.01027054712176323,,
4,4099,,,0.008061008527874947,,
4,4149,,,0.0064736781641840935,,
4,4199,,,0.4779696762561798,,
4,4249,,,0.0144306356087327,,
4,4299,,,0.07275327295064926,,
4,4349,,,0.0567295178771019,,
4,4399,,,0.12782405316829681,,
4,4449,,,0.0011238153092563152,,
4,4499,,,0.11846550554037094,,
4,4549,,,0.01199325267225504,,
4,4594,,,,0.9739682674407959,0.08240537345409393
5,4599,,,0.026463929563760757,,
5,4649,,,0.10223926603794098,,
5,4699,,,0.05928870663046837,,
5,4749,,,0.006599712185561657,,
5,4799,,,0.0633949413895607,,
5,4849,,,0.006855635438114405,,
5,4899,,,0.0020747180096805096,,
5,4949,,,0.023464340716600418,,
5,4999,,,0.10422269254922867,,
5,5049,,,0.034933969378471375,,
5,5099,,,0.07807422429323196,,
5,5149,,,0.02770257368683815,,
5,5199,,,0.03742164000868797,,
5,5249,,,0.0583517923951149,,
5,5299,,,0.2120378613471985,,
5,5349,,,0.013924013823270798,,
5,5399,,,0.1516689509153366,,
5,5449,,,0.0008043513516895473,,
5,5499,,,0.025201084092259407,,
5,5513,,,,0.9719047546386719,0.10458771884441376
6,5549,,,0.013142338953912258,,
6,5599,,,0.024924982339143753,,
6,5649,,,0.016285154968500137,,
6,5699,,,0.0034352506045252085,,
6,5749,,,0.0008607000927440822,,
6,5799,,,0.0016836286522448063,,
6,5849,,,0.05360802635550499,,
6,5899,,,0.040054574608802795,,
6,5949,,,0.005392296705394983,,
6,5999,,,0.05408942699432373,,
6,6049,,,0.02551010251045227,,
6,6099,,,0.04335001856088638,,
6,6149,,,0.02181285247206688,,
6,6199,,,0.015780001878738403,,
6,6249,,,0.007161040790379047,,
6,6299,,,0.002417740412056446,,
6,6349,,,0.028040485456585884,,
6,6399,,,0.00424606679007411,,
6,6432,,,,0.9714285731315613,0.09879839420318604
7,6433,0.9676241874694824,0.12041687965393066,,,
